light,label
0.0129,normal
0.0081,normal
0.0081,normal
0.0089,normal
0.0105,normal
0.0105,normal
0.0097,normal
0.0105,normal
0.0097,normal
0.0113,normal
0.0105,normal
0.0153,normal
0.0089,normal
0.0137,normal
0.0121,normal
0.0137,normal
0.0129,normal
0.0161,normal
0.0105,normal
0.0161,normal
0.0129,normal
0.0153,normal
0.0129,normal
0.0153,normal
0.0145,normal
0.0161,normal
0.0137,normal
0.0177,normal
0.0145,normal
0.0137,normal
0.0145,normal
0.0161,normal
0.0137,normal
0.0161,normal
0.0169,normal
0.0161,normal
0.0145,normal
0.0169,normal
0.0145,normal
0.0169,normal
0.0145,normal
0.0161,normal
0.0137,normal
0.0161,normal
0.0153,normal
0.0185,normal
0.0177,normal
0.0266,normal
0.0322,normal
0.0411,normal
0.0435,normal
0.0548,normal
0.0588,normal
0.0645,normal
0.0645,normal
0.0725,normal
0.0709,normal
0.0790,normal
0.0765,normal
0.0894,normal
0.0935,normal
0.1015,normal
0.1039,normal
0.1120,normal
0.1080,normal
0.1160,normal
0.1128,normal
0.1249,normal
0.1192,normal
0.1241,normal
0.1200,normal
0.1273,normal
0.1225,normal
0.1354,normal
0.1305,normal
0.1386,normal
0.1329,normal
0.1402,normal
0.1362,normal
0.1434,normal
0.1394,normal
0.1619,normal
0.1660,normal
0.1772,normal
0.1942,normal
0.2168,normal
0.2168,normal
0.2305,normal
0.2305,normal
0.2393,normal
0.2361,normal
0.2426,normal
0.2377,normal
0.2442,normal
0.2401,normal
0.2458,normal
0.2393,normal
0.2434,normal
0.2329,normal
0.2401,normal
0.2345,normal
0.2385,normal
0.2345,normal
0.2442,normal
0.2377,normal
0.2498,normal
0.2538,normal
0.2812,normal
0.2909,normal
0.3030,normal
0.3465,normal
0.4891,normal
0.4956,normal
0.5222,normal
0.5254,normal
0.5286,normal
0.3892,normal
0.2973,normal
0.2667,normal
0.2579,normal
0.2385,normal
0.2337,normal
0.2184,normal
0.2119,normal
0.1934,normal
0.1813,normal
0.1547,normal
0.1507,normal
0.1337,normal
0.1168,normal
0.1015,normal
0.0999,normal
0.0846,normal
0.0822,normal
0.0725,normal
0.0773,normal
0.0669,normal
0.0701,normal
0.0532,normal
0.0491,normal
0.0395,normal
0.0419,normal
0.0346,normal
0.0395,normal
0.0338,normal
0.0387,normal
0.0346,normal
0.0403,normal
0.0338,normal
0.0290,normal
0.0322,normal
0.0371,normal
0.0330,normal
0.0371,normal
0.0330,normal
0.0371,normal
0.0290,normal
0.0363,normal
1.1806,anomaly
1.1846,anomaly
1.1854,anomaly
1.1878,anomaly
1.1870,anomaly
1.1918,anomaly
1.1886,anomaly
1.1846,anomaly
1.1741,anomaly
1.1677,anomaly
1.1854,anomaly
1.1935,anomaly
1.1959,anomaly
1.1927,anomaly
1.1951,anomaly
1.1991,anomaly
1.2039,anomaly
1.1677,anomaly
1.1371,anomaly
1.1886,anomaly
1.2483,anomaly
1.6069,anomaly
1.6980,anomaly
1.6923,anomaly
1.6907,anomaly
1.3603,anomaly
1.2523,anomaly
1.2467,anomaly
1.2555,anomaly
1.2523,anomaly
1.2200,anomaly
1.1757,anomaly
1.1628,anomaly
1.1935,anomaly
1.1910,anomaly
1.1693,anomaly
1.1564,anomaly
1.0871,anomaly
1.0291,anomaly
0.9775,anomaly
